"id","supplier_name","supplier_contact","supplier_email","supplier_address","supplier_description","created_at","updated_at","deleted_at"
"38","PT BRATASENA JAYA","8128655768","tidakadaemail@gmail.com","Jl. RS Farmawati No 56 Jakarta","Term Of Payment :  Cash Payment
Diskon 45%
Franco Jakarta Include Ppn 10%","2022-01-21 15:54:07","2022-01-21 15:54:07",NULL
"39","Indonesia Utensil ","6285810902227","foodservice@indoutensil.com","Jl. Plaju No.2 Jakarta Pusat","Term Of Payment : Cash Payment 
Diskon 15%+5%
Franco Jakarta  Include Ppn 10%
","2022-01-21 15:55:23","2022-01-21 15:55:23",NULL
"40","PT SAN NENG BAKEWARE","2122651332","tidakadaemail@gmail.com","Jl. Griya Utama No 10 Sunter Agung Jakarta Utara","Term Of Payment :  Credit 1  Bulan 
Franco Jakarta Include Ppn 10%","2022-01-21 15:56:33","2022-01-21 15:56:33",NULL
"41","PAYUNG SARANA MAKMUR","6287788817028","tidakadaemail@gmail.com","Jakarta","Term Of Payment :  Cash Payment
Franco Jakarta Include Ppn 10%","2022-01-21 15:58:34","2022-01-21 15:58:34",NULL
"42","UD SM Gas","361222748","tidakadaemail@gmail.com","Jalan Nusa Kambangan 190 Denpasar ","Credit 1 Bulan 
","2022-01-21 16:05:04","2022-01-21 16:05:04",NULL
"43","Sinar Logam","361221341","tidakadaemail@gmail.com","Jalan Raya Sesetan No. 134B Denpasar ","Cash Payment ","2022-01-21 16:05:43","2022-01-21 16:05:43",NULL
"44","Sumber Mandiri ","361240253","tidakadaemail@gmail.com","Jalan Raya Sesetan No. 213C","Cash Payment ","2022-01-21 16:06:27","2022-01-21 16:06:27",NULL
"45","Taras","6281933012133","tidakadaemail@gmail.com"," Jl. Raya Sesetan No.214, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223","Cash Payment ","2022-01-21 16:07:21","2022-01-21 16:07:21",NULL
"46","Wiswa Karya","6285100110035","tidakadaemail@gmail.com","Jl. Tukad Barito No.99x, Renon, Denpasar Selatan, Kota Denpasar, Bali 80226","Top Of Paymet Bg 14 Hari","2022-01-21 16:08:20","2022-01-21 16:08:20",NULL
"47","PERTAMA","3619005510","tidakadaemail@gmail.com","Jalan Mahendradatta No. 88C Denpasar ","Cash Payment ","2022-01-21 16:08:58","2022-01-21 16:08:58",NULL
"48","Toko Livana ","87779995858","tidakadaemail@gmail.com","Jalan Teuku Umar Barat Malboro  Denpasar","Cash Payment
Bg 14 Hari Untuk Pembelanjaan Di Atas Satu Juta 
","2022-01-21 16:10:52","2022-01-21 16:10:52",NULL
"49","SUMBER BAUT","3618452613","tidakadaemail@gmail.com","Jl. Imam Bonjol No.203, Pemecutan Klod ","Cash Payment  ","2022-01-21 16:11:39","2022-01-21 16:11:39",NULL
"50","UD SINAR MULIA","361724305","tidakadaemail@gmail.com","Jalan Raya Sesetan No. 14 Denpasar ","Cash Payment 			
","2022-01-21 16:12:22","2022-01-21 16:12:22",NULL
"51","RD JAYA CUSTOM","0","tidakadaemail@gmail.com","Denpasar ","Cash Payment			
","2022-01-21 16:12:50","2022-01-21 16:12:50",NULL
"52","Sukses Sejahtera","3618491461","tidakadaemail@gmail.com","Jl. WR Supratman No 19 ","Cash Payment ","2022-01-21 16:13:18","2022-01-21 16:13:18",NULL
"53","CV. Karya Pratama Perkasa - Jpt ","8815033830","tidakadaemail@gmail.com","Jl. Raya Sesetan No.35/37, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113","Cash Payment ","2022-01-21 16:14:38","2022-01-21 16:14:38",NULL
"54","Service Centre Miyako Rinnai Shimizu","85100622991","tidakadaemail@gmail.com","Jl. Suradipa No.104, Peguyangan Kaja","Cash Payment ","2022-01-21 16:15:13","2022-01-21 16:15:13",NULL
"55","Bali Cool ","361484564","tidakadaemail@gmail.com","Jalan Imam Bonjol No. 230 Denpasar ","Cash Payment 			
","2022-01-21 16:15:53","2022-01-21 16:15:53",NULL
"56","Cemerlang Baut","361710856","tidakadaemail@gmail.com","Jl. Pulau Moyo No.94 Denpasar ","Cash Payment 			
","2022-01-21 16:16:37","2022-01-21 16:16:37",NULL
"57","Jasa Karya","361420242","tidakadaemail@gmail.com","Jalan Cokroaminoto  No. 49 Denpasar ","Cash Payment 			
","2022-01-21 16:18:06","2022-01-21 16:18:06",NULL
"58","Global Mart Sesetan ","361710079","tidakadaemail@gmail.com"," Jl. Gurita I No.38, Sesetan Denpasar ","Cash Payment ","2022-01-21 16:18:57","2022-01-21 16:18:57",NULL
"59","Listrik Rajawali Indah","8113804045","tidakadaemail@gmail.com"," Jl. Tukad Barito No.36C, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80225","Cash Payment 			
","2022-01-21 16:20:04","2022-01-21 16:20:04",NULL
"60","CV Herito Mulia Jaya","81510055825","tidakadaemail@gmail.com","Bojong Sari , Depok Jawa Barat ","Cash Before Delivery ","2022-01-21 16:21:00","2022-01-21 16:21:00",NULL
"61","Aneka Guna","361223497","tidakadaemail@gmail.com","Jl. Waturenggong No 23/33 Denpasar ","Cash Payment 			
","2022-01-21 16:21:41","2022-01-21 16:21:41",NULL
"62","RODA JAYA","85792240325","tidakadaemail@gmail.com","Jl. Raya Pemogan No.999 Denpasar ","Cash Payment 			
","2022-01-21 16:22:38","2022-01-21 16:22:38",NULL
"63","Gentong Graha","361480208","tidakadaemail@gmail.com","Jalan Buana Raya Padang Sambian Denpasar ","Term Of Payment : Cash Payment","2022-01-21 16:23:29","2022-01-21 16:23:29",NULL
"64","Tuwed Interior Bali ","0","tidakadaemail@gmail.com","Perum Pasraman Unud Blok B No 8 Denpasar ","Pengerjaan 2-3 Minggu 			
Dp 50%			
Pelunasan 50% Setelah Barang Di Terima  			
","2022-01-21 16:26:04","2022-01-21 16:26:04",NULL
"65","Cv Hutama Karya Abadi","2189131808","tidakadaemail@gmail.com","Jln. Perjuangan Km 4 Teluk Pucung, Bekasi ","Franco Jakarta Include Ppn 10%				
Dp 50% Saat Po Diterima 				
Pelunasan 50% Sebelum Unit Dikirim 				
Penawaran Harga Sesuai Dengan Penawaran Yang Di Berikan 			
","2022-01-21 16:27:30","2022-01-21 16:27:30",NULL
"66","UD Adika Jaya ","87786690307","tidakadaemail@gmail.com","JL. Nakula, 5, Dangin Puri Kaja, Denpasar","Cash Payment","2022-01-21 16:28:46","2022-01-21 16:28:46",NULL
"67","UD Adika Jaya ","87786690307","tidakadaemail@gmail.com","JL. Nakula, 5, Dangin Puri Kaja, Denpasar","Cash Payment","2022-01-21 16:28:46","2022-01-21 16:28:46",NULL
"68","INTI SARANA BOGA","6281237148466","tidakadaemail@gmail.com","Denpasar ","Cash Payment 			
","2022-01-21 16:29:52","2022-01-21 16:29:52",NULL
"69","UD PALAPA ","361265756","tidakadaemail@gmail.com","Jalan Raya Sesetan Denpasar","Cash Payment 			
","2022-01-21 16:30:42","2022-01-21 16:30:42",NULL
"70","UD PURYA JAYA ","361462971","tidakadaemail@gmail.com","Jl. Gatot Subroto Tim. No.150, Kesiman Petilan, Kec. Denpasar Tim., Kota Denpasar, Bali 80237","Cash Payment 			
","2022-01-21 16:31:51","2022-01-21 16:31:51",NULL
"71","PT.KVG AIRE Teknika Jaya","6285714138040","tidakadaemail@gmail.com"," Jl Teluk Langsa No.68A Ciangsana Bogor","Frangko Jakarta			
Belum Biaya Pengiriman 			
Proses Pabrikasi Di Wokrshop 3-4 Harian 			
Pembayaran Setelah Barang Dikerjakan Dan Kirim 			
","2022-01-21 16:32:29","2022-01-21 16:32:29",NULL
"72","UD Megah Jaya","361490667","tidakadaemail@gmail.com","Jl. Mahendradatta Selatan No.8a Denpasar ","Cash Payment ","2022-01-21 16:33:16","2022-01-21 16:33:16",NULL
"73","Barito Teknik ","6282144505058","tidakadaemail@gmail.com","Jl. Imam Bonjol Depan Trans Mall","Cash Payment 
","2022-01-21 16:34:29","2022-01-21 16:34:29",NULL
"74","Toko Bangunan Maju Makmur","6281999056566","tidakadaemail@gmail.com","Jl. Raya Sesetan No.300, Sesetan, Denpasar Selatan, Kota Denpasar ","Cash Payment 			
","2022-01-21 16:35:57","2022-01-21 16:35:57",NULL
"75","PT. CITRA PLATINDO ","82133765501","cemerlanglestariplatindo@gmail.com","Jl. Manis II No. 27 A Kel. Manis Jaya, Kec. Jatiuwung Tangerang","BG Mundur 30 Hari
Price Include PPN 
Payment Ke BCA A/n PT. Citra Platindo 604 1838 288
","2022-01-22 16:18:07","2022-01-22 16:18:07",NULL
"76","PT. TISCO INTRANUSA SEJAHTERA","6283856155853","tidakadaemail@gmail.com","Jl. Sepat Lidah Kulon No.14D, Lidah Kulon,  Lakarsantri, Kota SBY, Jawa Timur 60213","BG 1 Bulan 
Harga Include PPN 10%
","2022-01-22 16:19:27","2022-01-22 16:19:27",NULL
"77","PT MULTI MAYAKA","622146832522","tidakadaemail@gmail.com","Jl. Rawa Gelam III No. 2  Jakarta 13930","DP 50%			
Pelunasan After Delivery			
Garansi 1 Tahun Full Sparepart & Service			
Price Include PPN 10%			
Ready Denpasar			
Franco Denpasar			
Include Install & Training 			
","2022-01-22 16:21:56","2022-01-22 16:21:56",NULL
"78","DHANA TON","8123964862","tidakadaemail@gmail.com","Jl. By Pass Ngurah Rai Denpasar Selatan","DP 50%			
Franco Bali			
Pengiriman Bertahap Mengikutin Permintaan 	
","2022-01-22 16:22:56","2022-01-22 16:22:56",NULL
"79","BAPAK KOMANG","8123755525","tidakadaemail@gmail.com","Denpasar ","DP 30%
Pelunasan 70% Setelah Pekerjaan Selesai
Pekerjaan Dapat Berfungsi Dengan Baik
","2022-01-22 16:23:35","2022-01-22 16:23:35",NULL
"80","PT AKOR CEMERLANG ABADI","628113287876","tidakadaemail@gmail.com","Jl. Gunung Anyar Emas C 2/6 Surabaya 60294","Cash Before Delivery Include Ppn 10%
","2022-01-22 16:24:24","2022-01-22 16:24:24",NULL
"81","PT.DIAMOND JACK INDONESIA ","2162200770","sales@diamondjack.co.id","Jl Hayam Wuruk No 127 Jakarta Barat 11180, Indonesia ","Cash Payment 
Harga Barang Including 10 % PPN
","2022-01-22 16:25:32","2022-01-22 16:25:32",NULL
"82","PT GLOBAL INTI STEEL","6281310499604","tidakadaemail@gmail.com","Daan Mogot KM 21 Ruko No 179 A-B Batu Ceper Tangerang Banten","Cash Payment			
Harga Include PPN 10%			
","2022-01-22 16:26:33","2022-01-22 16:26:33",NULL
"83","Toko WIKOWI NGEN","361244958","tidakadaemail@gmail.com","Jalan Pulau Moyo No 77 Pendungan - Dps","Cash Payment 			
","2022-01-22 16:27:21","2022-01-22 16:27:21",NULL
"84","UD PRIMA JAYA 2","361728733","tidakadaemail@gmail.com","Jalan Raya Sidakarya No 24 Denpasar","Cash Payment 
","2022-01-22 16:28:09","2022-01-22 16:28:09",NULL
"85","LASTI JAYA","6285100432783","tidakadaemail@gmail.com","Badung","Cash Payment 
Franco Bali			
","2022-01-22 16:29:04","2022-01-22 16:29:04",NULL
"86","LASTI JAYA","6285100432783","tidakadaemail@gmail.com","Badung","Cash Payment 
Franco Bali			
","2022-01-22 16:29:05","2022-01-22 16:29:05",NULL
"87","Toko Kawan Sedjati","6285710361923","tidakadaemail@gmail.com","Jl. Raya Mangga Besar No.1A Jakarta","Cash Payment Before Delivery 
","2022-01-22 16:29:46","2022-01-22 16:29:46",NULL
"88","CAHAYA NUSANTARA TEKNIK ","81235887787","tidakadaemail@gmail.com","Jl. Raya Lontar No.137A, Lontar Kec. Sambikerep, Surabaya","Cash Payment
","2022-01-22 16:30:26","2022-01-22 16:30:26",NULL
"89","Toko Besi Baja Lancar","3618466374","tidakadaemail@gmail.com","Jl. Mahendradatta Selatan No.44,","Cash Payment			
","2022-01-22 16:31:43","2022-01-22 16:31:43",NULL
"90","TK Indo Perkasa Chemical ","2162201273","tidakadaemail@gmail.com","LTC Glodok  GF-2 / C-3 / 1, 9.  Jl. Hayam No. 127 Jakarta","Cash Payment Before Delivery 
","2022-01-22 16:32:54","2022-01-22 16:32:54",NULL
"91","MODENA Indonesia","1500715","tidakadaemail@gmail.com","Jl. Kebo Iwa Utara No.21X, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80118","Term Of Payment : 30 Day Credit  
Price Include Ppn 10%","2022-01-22 16:36:37","2022-01-22 16:36:37",NULL
"92","HOUSE OF CULINAIRE BANDUNG","224224606","admin@houseofculinaire.com","Jl. Lengkong Besar No.52A, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40261","Term Of Payment : DP 50%
- Ready Bandung			
- Franco Bandung			
- Price Include PPN 10%			
- Pelunasan Credit 14 Hari			

","2022-05-28 15:49:00","2022-05-28 15:49:00",NULL
"93","OZTIRYAKILER MADENI ESYA SAN. VE TIC. A.S ","905374625217","ooztiryaki@oztiryakiler.com.tr","Cumhuriyet Mah.Hadimkoy Yolu Caddesi No: 8 1Nolu Bagimsiz Bolum-Turkey ","Term Of Payment: CREDIT 60 DAYS
- EXWORK ISTANBUL

","2022-05-28 15:50:14","2022-05-28 15:50:14",NULL
"94","GREENFIELD WORLTRADE","85294514115","vyan@thelegacycompanies.com","3355 Enterprise Ave, Suite#160 Fort  ","Term Of Payment : CASH IN ADVANCE
- EXWORK Amsterdam 
","2022-05-28 15:52:25","2022-05-28 15:52:25",NULL
"95","Qingdao Linghongda International Trade Co,.LTD","81382131393","tidakadaemail@email.com","Pantai Indah Kapuk Jakarta Utara","Term Of Payment : CASH IN ADVANCE
- Ready Jakarta
- Franco Jakarta
Diskon 30%
","2022-05-28 15:55:33","2022-05-28 15:55:33",NULL
"96","Dapur Prima ","623618955855","tidakadaemail@email.com","Jalan Tukad Yeh Aya No.16 X, Panjer, Denpasar Selatan, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80234","Cash Payment","2022-05-28 15:56:48","2022-05-28 15:56:48",NULL
"97","ASKITCHEN ","6281807727857","tidakadaemail@email.com","Jl. Dewi Sri No.189, Legian, Kuta, Kabupaten Badung, Bali 80361","Term Of Payment : Cash Payment 
Remark
- Ready Bali 
- Cash Payment Before Delivery 
- Diskon By Product ","2022-05-28 15:59:39","2022-05-28 15:59:39",NULL
"98","Toko Jati Karya","6282236630381","tidakadaemail@email.com","Jl. Teuku Umar Barat No.56 Denpasar Barat 80119","Term Of Payment : Cash Payment			
- Ready Denpasar			
- Franco Denpasar			
","2022-05-28 16:00:53","2022-05-28 16:00:53",NULL
"99","CKE FAN TEHNIK","62895635998848","tidakadaemail@email.com","Jl. Kramat Raya, RT.18/RW.1, Paseban Kota Jakarta Pusat,","Term Of Payment : Cash Payment							
- Ready Jakarta			
- Franco Jakarta			
- Harga Include PPN 11%			
			
","2022-05-28 16:01:49","2022-05-28 16:01:49",NULL
"100","PT WAHANA BOGA NUSANTARA","8113961965","kitchenware@lotusfoodservices.co.id","Jl. Bypass Ngurah Rai No. 18 Jimbaran Bali 80361","Term Of Payment : DP 50%			
Balance Payment 50% Before Delivery
- Ready Denpasar			
- Franco Denpasar			
","2022-05-28 16:02:50","2022-05-28 16:02:50",NULL
"101","ROBOT COUPE ","330143988833","france@robot-coupe.fr","12, Avenue Du Maréchal Leclerc - 71300 Montceau-en-Bourgogne","Term Of Payment			: Cash Payment 
- CIF			
","2022-05-28 16:04:53","2022-05-28 16:04:53",NULL
"102","NINGBO DONGQIAN LAKE TOURISM ZONE BOXIN SANITARY HRADWARE CO.,LTD.","8657482832611","tidakadaemail@email.com","No. 25 Changcao Road, Dongqian Lake Zone Ningbo City Zhejiang China","Term Of Payment : Full Payment 
-Production Time : 7 Days After Received Full Payment

","2022-05-28 16:06:30","2022-05-28 16:06:30",NULL
"103","Qingdao Li Hongda International Trade Co. Ltd.","8618254380903","3073482693@qq.com","Room 1708D. 18 Baoding Road, Shinan Disctrict, Qingdao, Shandong China ","Term Of Payment : 30% Down Payment, 70% Balance Before Shipment 

- EXWORK
- Use Our Brand ""SUN EAST""
- Use Our Brand ""ATM COOL"" Is SD598W = 3 Unit 
- Cake Showcase Use 3 Layer
- Free 2% Part, Layer, Doors, And Compresor
- Delivery Time : 25 Days After Receiving Deposit
","2022-05-28 16:08:14","2022-05-28 16:08:14",NULL
"104","Guangzhou Unique Catering Equipment Co., Ltd","8618665717517","sales12@cn-kitchen.com","No.13 Dongjing Road, Donghua Industrial Park, Renhe Town Baiyun District, Guangzhou, China","Term Of Payment		: 30% Down Payment, 70% Balance Before Shipment											
- Use Our Brand "" Sun East""												
- 1 Container 20""												
- FOB Guangzhou 												
- Production 30-45 Days 												
","2022-05-28 16:09:49","2022-05-28 16:09:49",NULL
"105","MEHEN FOOD MACHINE MANUFATURE CO. LIMITED","9223372036854775807","sales@mehen.com","Xinling Road 1, Chunhua Street, JiangNing District Nanjing 211123 China","Term Of Payment			: 50% Down Payment, 50% Balance Before Shipment 																		
- EXWORK												
","2022-05-28 16:16:37","2022-05-28 16:17:20",NULL
"106","U.D. SUSANTI","6281284355080","info@auroraovens.com","Jl. Intan Permai 21 Kuta Badung 80361","Term Of Payment			: 40% Down Payment							   60% On Delivery										
- Delivery Time : 30 Days From Order												
- Use Brand Our Logo ""SUN EAST""												
- The Colour Is Black Mozaik												
","2022-05-28 16:18:24","2022-05-28 16:18:24",NULL
"107","RUMAH WEB ","274882257","info@rumahweb.com","Jalan Lempongsari No. 39C Sleman, Yogyakarta 55581","Term Of Payment : Cash Payment","2022-05-28 16:19:04","2022-05-28 16:19:04",NULL
"108","BRILIANT INTI JAYA ","6281380422947","tidakadaemail@email.com","Jakarta ","Term Of Payment: Cash Payment

","2022-05-28 16:27:12","2022-05-28 16:27:12",NULL
"109","TA BALI","81338168853","tidakadaemail@email.com"," Sunset Road Boulevard Komp Ruko Sunset Indah II Blok A8-9 Kuta, Kabupaten Badung BALI – INDONESIA","Term Of Payment : Cash Payment				
","2022-05-28 16:29:59","2022-05-28 16:29:59",NULL
